Key,Id,Shared Comments,English(en),English(en) Comments,Japanese(ja),Japanese(ja) Comments
"Stage1_2.MessageTrigger_enemy_2.1",305887685521409,"","<color=yellow>If there’s an enemy in front of us</color>, I’ll attack it with fire, okay?","","<color=yellow>正面に敵がいたら</color>、私が炎で攻撃するね？",""
"Stage1_2.MessageTrigger_enemy_4.0",305888398553088,"","Marlica, have you seen Pepe or Node?","","マルリカ。ペペとノードは見かけた？",""
"Stage1_2.MessageTrigger_enemy_4.1",305888398553089,"","Nope. I've only been looking at you, Lulu-chan.","","ううん。ルルちゃんのことしか見えてないよ。",""
"Stage1_2.MessageTrigger_enemy_4.2",305888398553090,"","I see. Well, I guess that can't be helped.","","そっか。それなら仕方ないね。",""
"Stage1_2.MessageTrigger_enemy_1.0",305889136750592,"","There are enemies here too…","","ここにも敵が……",""
"Stage1_2.MessageTrigger_pepe.0",305890109829120,"","<color=yellow>Hold X</color> and charge right through the beam!","","<color=yellow>Xボタンを長押ししながら</color>ビームに突っ込もう！",""
"Stage1_2.MessageTrigger_enemy_6.0",305890797694976,"","…If you invincible while glowing, why not just stay glowing forever?","","……光ってる間無敵なら、ずーっと光ってればいいんじゃないの？",""
"Stage1_2.MessageTrigger_enemy_6.1",305890797694977,"","Ha ha ha! Well, that’s true!
There’s no real downside to staying glowing!","","はっはっは！まあそうだな！
光り続けても特にデメリットなどはないからな！",""
"Stage1_2.MessageTrigger_enemy_6.2",305890797694978,"","Well… except it gets exhausting… for me!","","強いて言えば疲れるな！
僕が！",""
"Stage1_2.MessageTrigger_enemy_6.3",305890797694979,"","And the player’s fingers, too.","","プレイヤーの指もね。",""
"Stage1_2.MessageTrigger_pepe_4.0",305891380703232,"","<color=yellow>Hold X</color> and I'm invincible!

Just keep holding it—don’t mash the button!","","<color=yellow>Xボタンを押してる間</color>は無敵になれるよ！

連打じゃないから気を付けてね！",""
"Stage1_2.MessageTrigger_enemy.0",305892009848832,"","Oh. An enemy.","","あ。敵だ。",""
"Stage1_2.MessageTrigger_enemy.1",305892014043136,"","...Too bad, but we can't defeat it yet.
We'll just have to dodge it and keep going.","","……残念だけど、今は倒せないから
避けて進むしかないね。",""
"Stage1_2.MessageTrigger_enemy.2",305892014043137,"","You know, one of my friends
has powers that are great for fighting.","","あのね。攻撃向きの能力は
あたしの友達が持ってるんだよ。",""
"Stage1_2.MessageTrigger_enemy.3",305892014043138,"","They're probably nearby.
I bet we'll run into them before long!","","多分すぐ近くに居ると思うよ。
この先くらいで会えるんじゃないかな。",""
"Stage1_3.Message_NodeJoined_9.0",306011086139392,"","By the way, Node...
What was the enemy who took Milly-chan like?","","そういえばノード。
ミリーちゃんをさらった敵ってどんな奴？",""
"Stage1_3.Message_NodeJoined_9.1",306011086139393,"","Yeah...
An explosive-type Ability user...
Strong enough to blow my ice away...","","ああ……
オレの氷を吹っ飛ばすほどの威力を持った、 爆発系の能力者で……",""
"Stage1_3.Message_NodeJoined_9.2",306011086139394,"","So… you lost?","","負けちゃったんだ？",""
"Stage1_3.Message_NodeJoined_9.3",306011086139395,"","I didn't lose!
That bastard grabbed Milly and ran off on his own!","","オレは負けてねえ！
あいつがミリーをさらって勝手に逃げやがったんだよ！",""
"Stage1_3.Message_NodeJoined_9.4",306011086139396,"","A kidnapper...
Then the recent disappearances of Ability users around town
may not be unrelated.","","人さらいか……
最近、町の能力者が姿を消している事件は
無関係ではなさそうだな。",""
"Stage1_3.Message_NodeJoined_9.5",306011086139397,"","So it really was Dark World, the evil organization.","","悪の組織、ダークワルドのしわざだよね。",""
"Stage1_3.Message_NodeJoined_9.6",306011086139398,"","We have to save Milly-chan quickly.
Right, Player?","","早くミリーちゃんを助けてあげないと。
ね、プレイヤー！",""
"Stage1_3.Message_Wave1.0",306012113743872,"","<color=yellow>Hit Y</color> and Node will unleash a powerful attack!","","<color=yellow>Yボタン</color>で、ノードが威力の高い攻撃をしてくれるよ！",""
"Stage1_3.Message_Wave1.1",306012113743873,"","<color=yellow>Mash Y</color> to keep the combo going!","","<color=yellow>Yボタン連打</color>でコンボ攻撃が出来るからね！",""
"Stage1_3.Message_NodeJoined_10.0",306012906467328,"","Tough enemy? Time for Node to shine!","","固い敵には、ノードの出番だな！",""
"Stage1_3.Message_NodeJoined_10.1",306012906467329,"","Go, Node! Ice Blade, now!","","ゆけ！ノード！氷の刃！",""
"Stage1_3.Message_NodeJoined_10.2",306012906467330,"","…………","","…………。",""
"Stage1_3.Message_NodeJoined_10.3",306012914855936,"","Ugh, he’s totally ignoring us!","","だめだそっぽ向いてる！",""
"Stage1_3.Message_NodeJoined_10.4",306012914855937,"","Do we not have enough badges or what!?","","バッジが足りないか！？",""
"Stage1_3.Message_NodeJoined_10.5",306012914855938,"","…Are they talking about some game…?","","……何かのゲームの話してる……？",""
"Stage1_3.Message_StageStart.0",306013669830656,"","Grrgh…!!","","ぐあ……！！",""
"Stage1_3.Message_StageStart.1",306013669830657,"","Big Brother...!","","お兄ちゃん……！",""
"Stage1_3.Message_StageStart.2",306013669830658,"","Milly...!!
Damn it... Come back!!","","ミリー……！！
待て……！くそ……！！",""
"Stage1_3.Message_StageStart.3",306013669830659,"","That voice… was that—","","今の声って……",""
"Stage1_3.Message_StageStart.4",306013669830660,"","Let’s hurry!","","急ごう！",""
"Stage1_3.Message_HideRoom.0",306014470942720,"","...What's with this one coin?","","何この1コイン。",""
"Stage1_3.Message_HideRoom.1",306014470942721,"","We finally found a secret room...
and this is all we get?","","せっかく隠し部屋に入れたのにこれだけ？",""
"Stage1_3.Message_HideRoom.2",306014470942722,"","And yet, was it not fun?
Perhaps the adventure itself was the true reward.","","だが楽しかっただろう？
これが何よりの報酬とは思わないか？",""
"Stage1_3.Message_HideRoom.3",306014470942723,"","I told you to hurry!
Quit screwing around and keep moving!","","急げっつてんだろ寄り道すんな馬鹿！",""
"Stage1_3.Message_HideRoom.4",306014470942724,"","...The Player told me to go this way.","","プレイヤーが行けって行ったんだもん。",""
"Stage1_3.Message_Wave1_Clear.0",306017012690944,"","Excellent! The School Defense Club is finally all together!
Now, let us rescue Milly!","","よし！学園防衛部、全員集合だな！
皆でミリー君を助けに行くとしよう！",""
"Stage1_3.Message_Wave1_Clear.1",306017012690945,"","A hero who dodges every attack,
chases down anyone who tries to run,
and corners them with teleportation...
Sounds unstoppable.","","どんな攻撃も回避して、
どこに逃げても追いかけて、
瞬間移動で追い詰める、無敵のヒーローの誕生だね。",""
"Stage1_3.Message_Wave1_Clear.2",306017012690946,"","That sounds way worse than you meant it to.","","字面が最悪なんだけど",""
"Stage1_3.Message_NodeJoined_4.0",306017499230208,"","Look, Lulu-chan.
That's the place we went shopping together.","","見てルルちゃん。あの建物、
前に一緒にお買い物に行ったところだよ。",""
"Stage1_3.Message_NodeJoined_4.1",306017499230209,"","Oh, you're right! 
We can see it from here!","","あ、ほんとだ！
ここからならよく見えるね！",""
"Stage1_3.Message_NodeJoined_4.2",306017499230210,"","You two done?","","呑気か。",""
"Stage1_3.Message_NodeJoined_4.3",306017499230211,"","Look, Node!
That's the movie theater I've been wanting to check out!","","見てみたまえノード君！ あの建物、
今度僕が行こうと思っている映画館だな！",""
"Stage1_3.Message_NodeJoined_4.4",306017499230212,"","Who cares? Go by yourself.","","知らねえよ。勝手に行けよ。",""
"Stage1_3.Message_NodeJoined_7.0",306018291953664,"","<color=yellow>If I warp straight into an enemy</color>, 
Node will attack automatically!","","<color=yellow>ワープで敵に突っ込め</color>ば、
ノードが勝手に攻撃してくれるよ！",""
"Stage1_3.Message_Start_2.0",306018879156224,"","Hup!","","よっと！",""
"Stage1_3.Message_Start_2.1",306018879156225,"","…Wow, look at that! We made it so high up!
Hey, hey, Marlica, look! There are so many coins!","","わーいすごい高いとこまで来ちゃった！
ほら見て見てマルリカ！ コインもたくさんだよ！",""
"Stage1_3.Message_Start_2.2",306018879156226,"","That’s great. Good for you.
…Well, looks like this is a dead end, so let’s head back.","","すごいね。良かったね。
じゃあ行き止まりみたいだから戻ろうか。",""
"Stage1_3.Message_Start_2.3",306018879156227,"","…Okay.","","はい。",""
"Stage1_3.Message_Wave2.0",306019487330304,"","Move! You worthless trash!!","","どけ、雑魚どもが！！",""
"Stage1_3.Message_Wave2.1",306019487330305,"","That tough enemy is up on the platform.
It's hard to hit from here.","","固い敵が台の上にいて、攻撃しづらいね。",""
"Stage1_3.Message_Wave2.2",306019487330306,"","I'll hit it with my fire and lock on, okay?","","私が炎攻撃を当ててロックオンするね？",""
"Stage1_3.Message_Wave2.3",306019487330307,"","Press <color=yellow>Y while locked on</color>
to warp right in front of the enemy and attack!","","<color=yellow>ロックオン状態でYボタン</color>を押すと、
敵の目の前にワープしながら攻撃出来るよ！",""
"Stage1_3.Message_Wave2.4",306019487330308,"","Lock on with A, then attack with Y!
That's the basic combo!","","Aでロックオンして、Yで攻撃！
この流れが基本だね！",""
"Stage1_3.Message_Wave2_1.0",306020112281600,"","It's up ahead! Hurry!!","","この先だ！急げ！！",""
"Stage1_3.Message_ShortCut.0",306021110525952,"","Heh, up we go!","","よっ",""
"Stage1_3.Message_ShortCut.1",306021190217728,"","Got it.","","っと",""
"Stage1_3.Message_ShortCut.2",306021190217729,"","…Wait, didn’t we just totally skip a bunch of stuff?","","……なんか今、大幅に色々無視して進まなかった？",""
"Stage1_3.Message_ShortCut.3",306021190217730,"","Faster’s always better, huh?","","早く行けるに越したことはねえだろ。",""
"Stage1_3.Message_ShortCut.4",306021190217731,"","Yep! No problemo!","","うむ、何も問題ないな！",""
"Stage1_4.MessageTrigger_5.0",306155152093184,"","Something’s coming!","","何か来そうだ！",""
"Stage1_4.MessageTrigger_5.1",306155152093185,"","<color=yellow>Keep holding the X button!","","<color=yellow>Xボタンを長押し</color>し続けて！",""
"Stage1_4.MessageTrigger_7.0",306160365613056,"","Looks like they're starting to panic.","","敵も余裕が無くなってきたみたいだな。",""
"Stage1_4.MessageTrigger_7.1",306160365613057,"","Hehe... I'm kinda freaking out too.","","ちなみにあたしも余裕がないです。",""
"Stage1_4.MessageTrigger_7.2",306160365613058,"","If the attacks get too intense,
there's no shame in staying invincible until you spot an opening!","","敵の攻撃が激しければ、
隙を見つけるまで無敵のまま様子を見るのも手だぞ！",""
"Stage1_4.MessageTrigger_7.3",306160365613059,"","We're almost there, Lulu-chan.
Just a little more, okay?","","あと少しだよ、ルルちゃん。
もうちょっとがんばろ？",""
"Stage1_4.MessageTrigger_7.4",306160365613060,"","Yep! I'll give it everything I've got!","","うん！超がんばるー！",""
"Stage1_4.MessageTrigger_7.5",306160365613061,"","We’re the heroes who protect this town!
The School Defense Club will defeat all the evil enemies!","","この町を守る正義の味方！
あたしたち学園防衛部が、悪の組織を成敗する！",""
"Stage1_4.MessageTrigger_6.0",306161888145408,"","This is crazy…","","無茶苦茶な……。",""
"Stage1_4.MessageTrigger_6.1",306161888145409,"","That’s cheating, isn’t it?","","あんなの反則だよねぇ？",""
"Stage1_4.MessageTrigger_6.2",306161888145410,"","That won't work on you anyway.","","どうせその反則も、お前には効かねえじゃねえか。",""
"Stage1_4.MessageTrigger_1.0",306162479542272,"","We made it!!","","勝った！！",""
"Stage1_4.MessageTrigger_1.1",306162479542273,"","We did…!","","やったね……！",""
"Stage1_4.MessageTrigger_4.0",306163268071424,"","From up there, my fire should be able to reach them more easily.","","あの高台からなら、私の炎も当てやすそうだね？",""
"Stage1_4.MessageTrigger_4.1",306163268071425,"","Stay back.
You won't take them down with those attacks anyway.","","お前は下がってろ。
そんなのいくら当てても倒せやしねえよ。",""
"Stage1_4.MessageTrigger_4.2",306163268071426,"","Hm…","","む……。",""
"Stage1_4.MessageTrigger_4.3",306163268071427,"","…Just don't get so carried away fighting up close that you get yourself hit, okay?","","……近距離での攻撃に夢中になって、
敵の攻撃に当たらないといいけどね？",""
"Stage1_4.MessageTrigger_4.4",306163268071428,"","...What?","","あ？",""
"Stage1_4.MessageTrigger_4.5",306163268071429,"","Hahaha!
It's wonderful to see you two getting along so well!","","はっはっは！
仲が良くて、何よりだ！",""
"Stage1_4.MessageTrigger_4.6",306163268071430,"","Marlica, let's show them how ‘close’ we are too!","","マルリカ、あたしたちの
""仲良し""も見せつけちゃおう！",""
"Stage1_4.MessageTrigger_4.7",306163268071431,"","…Okay.
I'll let you know when my charge is ready.","","……うん。
チャージが溜まったら教えるね？",""
"Stage1_4.MessageTrigger.0",306163985297408,"","Okay! Let’s roll, guys!","","行くよ、みんな！",""
"Stage1_4.MessageTrigger_3.0",306165235200000,"","…Hey, that thing he’s wearing looks kinda cool…","","……あのパワードスーツみたいなの、ちょっとカッコいいね……",""
"Stage1_4.MessageTrigger_3.1",306165235200001,"","Really?
I bet it’s super heavy, he won’t be moving anywhere from there.","","そうか？
あれのせいで重くて、あそこから動けねえんじゃねえのか？",""
"Stage1_4.MessageTrigger_3.2",306165235200002,"","…Like a cat that climbs up and can’t get down?","","……上ったら下りられない猫かな？",""
"Stage1_4.MessageTrigger_3.3",306165235200003,"","Maybe he hates low ground.","","低所恐怖症なのかもしれんぞ。",""
"Stage1_4.MessageTrigger_3.4",306165235200004,"","Ugh, who cares. Quit rambling.","","いやそんなことはどうでもいいんだよ。
話広げんな。",""
"Stage1_4.MessageTrigger_2.0",306166233444352,"","When you see the warning beam, the laser's coming.","","光線が見えたらレーザーが飛んでくるぞ。",""
"Stage1_4.MessageTrigger_2.1",306166233444353,"","Don't forget!
<color=yellow>Hold X to become invincible!</color>","","<color=yellow>Xボタンで無敵</color>になれることを忘れずにな！",""
"Stage1_4.MessageTrigger_2.2",306166233444354,"","Lulu-chan, couldn't you dodge them even without becoming invincible?","","ルルちゃんなら無敵にならなくても
避けられるんじゃない？",""
"Stage1_4.MessageTrigger_2.3",306166233444355,"","Leave it to me!
I just have to dodge the warning beam, right?","","任せて！
光線を避ければいいんだよね！",""
"Stage1_4.MessageTrigger_2.4",306166233444356,"","There's no downside, so make good use of my ability too!","","特にデメリットはないから
僕の能力も使ってやってくれ！",""
"0_1_WarpTutorial_3.clip0.0",306659869470720,"","Ah, that was close…","","あ、危なかった……。",""
"0_1_WarpTutorial_3.clip0.1",306659869470721,"","…………","","…………",""
"0_1_WarpTutorial_3.clip0.2",306659869470722,"","…You… could it be that you’re the player?","","……キミ、ひょっとしてプレイヤー？",""
"0_1_WarpTutorial_3.clip0.3",306659869470723,"","Amazing! It actually connected!
Ah, thank you for helping me!","","すごい！ほんとに繋がった！
あ、助けてくれてありがとう！",""
"0_1_WarpTutorial_3.clip1.0",306660863520768,"","I’m Lulu!
Nice to meet you from now on!","","あたし、ルル！
これからよろしくね！",""
"1_1_FalledGameStart.clip0.0",306662553825280,"","……Wait！","","……あっ！",""
"1_1_FalledGameStart.clip1.0",306663455600640,"","Could you be the Player!?","","キミ、もしかしてプレイヤー！？",""
"1_1_FalledGameStart.clip2.0",306664336404480,"","…Wait, this isn’t the time for introductions…","","……って、挨拶してる場合じゃないんだけどね……",""
"1_1_FalledGameStart.clip3.0",306665242374144,"","This floor looks thin enough to pass through.","","ここの床は薄そうだから通り抜けられそうだよ。",""
"1_1_FalledGameStart.clip3.1",306665246568448,"","Let’s go together, Player! I’ll follow your inputs!","","一緒に行こう、プレイヤー！
あたし、キミの操作に従うね！",""
"1_1_FalledGameStart.clip4.0",306667410829312,"","<color=yellow>Hold down and hit the B button!","","<color=yellow>下入力しながらBボタンを押してみて！",""
"1_1_FalledGameStart.clip5.0",306668270661632,"","Owieee……","","いったぁ～……",""
"1_1_FalledGameStart.clip6.0",306668870447104,"","Waaahhh!!","","わあああ！！",""
"1_1_FalledGameStart.clip7.0",306669587673088,"","Whoa, awesome! It actually worked—we really connected!
Oh! I’m Lulu! Nice meeting you!","","すごいすごい！ほんとに繋がった！
あ。あたしはルル！よろしくね！",""
"1_1_FalledGameStart.clip8.0",306670514614272,"","Looks like I fell into an abandoned building.","","廃ビルの中に落ちちゃったみたい。",""
"1_1_FireAttack.clip0.0",306672829870080,"","There’s another enemy. 
Let’s dodge so we don’t get hit, and—","","また敵がいるね。
当たらないように避けて……",""
"1_1_MarlicaJoin.clip0.0",306674960576512,"","Marlica!","","マルリカ！",""
"1_1_MarlicaJoin.clip1.0",306675585527808,"","Are you okay, Lulu-chan?","","ルルちゃん。大丈夫？",""
"1_1_MarlicaJoin.clip2.0",306676374056960,"","Yeah, thank you!","","うん、ありがとう！",""
"1_1_MarlicaJoin.clip2.1",306676374056961,"","I heard a strong enemy showed up—let’s go together!","","強い敵が現れたって聞いたよね。一緒に行こう！",""
"1_1_MarlicaJoin.clip3.0",306677300998144,"","Yeah.","","うん。",""
"1_1_MarlicaJoin.clip4.0",306678353768448,"","Marlica has joined!","","マルリカと合流した！",""
"1_1_MarlicaJoin.clip5.0",306679368790016,"","Huh?","","あれ？",""
"1_2_PepeJoin.clip0.0",306680929071104,"","My princess!
Marlica's with you too, I see!","","姫！
マルリカくんも一緒か！",""
"1_2_PepeJoin.clip1.0",306681608548352,"","Pepe!
There you are! I found you!","","ペペ！
ここにいたんだ！",""
"1_2_PepeJoin.clip2.0",306682254471168,"","Much obliged!","","うむ、かたじけない！",""
"1_2_PepeJoin.clip2.1",306682254471169,"","I, Peperiel Aa-Zeragaruk, shall be your knight and guard you, my princess!
Ha-ha-ha!!","","このペペリエルアア＝ゼラガルク、姫を守る騎士となろう！
はっーはっはっは！！",""
"1_2_PepeJoin.clip3.0",306683131080704,"","Pepe has joined!","","ペペと合流した！",""
"1_2_PepeJoin.clip4.0",306685509251072,"","…Aren’t we just gonna leave him behind? He’s way too loud…","","……騒がしいから置いていかない？",""
"1_2_PepeJoin.clip5.0",306686125813760,"","Yeah, yeah, I got it.
Come on, let's go.","","はいはい分かったから一緒に行こう。",""
"1_2_PepeJoin.clip6.0",306686574604288,"","...Yikes.","","これはひどい",""
"1_2_PepeJoin.clip7.0",306687249887232,"","No way, I’m not saying that.","","そんなこと言わないの。",""
"1_2_PepeJoin.clip8.0",306687946141696,"","Which is why... please help me!
I beg of you!","","ということで助けてください！
お願いします！",""
"1_2_PepeJoin.clip9.0",306689179267072,"","Indeed!
As you can plainly see, this place is crawling with traps!","","うむ！だが見ての通り、
この先やたら罠が張られていてな！",""
"1_2_PepeVoidTutorial.clip0.0",306690882154496,"","！","","！",""
"1_2_PepeVoidTutorial.clip1.0",306691242864640,"","Hold down X!","","Xボタンを押し続けて！",""
"1_3_NodeJoin.clip0.0",306693507788800,"","You alright!?","","無事か！",""
"1_3_NodeJoin.clip1.0",306694816411648,"","Tsk……!","","……ッ！",""
"1_3_NodeJoin.clip2.0",306695508471808,"","I can't believe Node lost...","","ノードが負けるなんて……",""
"1_3_NodeJoin.clip3.0",306696263446528,"","Understood. We'll rescue her immediately.
With the Princess's warp, we should still be able to catch up.
Can you stand?","","分かった。すぐに助けに向かおう。
姫のワープならまだ追い付けるはずだ。
立てるな？",""
"1_3_NodeJoin.clip4.0",306696884203520,"","Yeah...
...Sorry.","","ああ……
……悪い。",""
"1_3_NodeJoin.clip5.0",306697400102912,"","Alright, everyone’s here!
Time to save Milly-chan together!
Let’s gooo!","","よーし。全員集合だね！
みんなでミリーちゃんを助けに行こう！
おー！",""
"1_3_NodeJoin.clip6.0",306697999888384,"","Let’s go.","","おーっ。",""
"1_3_NodeJoin.clip7.0",306698943606784,"","Node has joined!","","ノードが合流した！",""
"1_3_NodeJoin.clip8.0",306700155760640,"","Shit...!","","くそが……！",""
"1_3_NodeJoin.clip9.0",306700755546112,"","Node!","","ノード！",""
"1_3_NodeJoin.clip10.0",306701539880960,"","...You look pretty beat up.","","……荒れてるね。",""
"1_3_NodeJoin.clip10.1",306701539880961,"","What happened?","","何があったの？",""
"1_3_NodeJoin.clip11.0",306702571679744,"","Shut up!
I have to move... Milly...","","うるせえ、黙れ！
さっさと行かねえと……ミリーが……！！",""
"1_3_NodeJoin.clip12.0",306703460872192,"","Your little sister?
Calm yourself. Tell us what happened.","","妹君か。
落ち着いてくれ。一体何があった？",""
"1_3_NodeJoin.clip13.0",306704803049472,"","...","","……ッ",""
"1_3_NodeJoin.clip13.1",306704803049473,"","...The enemy took Milly.
It was my fault...
I wasn't strong enough...!!","","……ミリーが敵にさらわれた。
オレの力不足のせいで……！！",""
"1_3_NodeJoin.clip14.0",306705658687488,"","...","","……",""
"1_3_NodeJoin.clip14.1",306705658687489,"","...You're covered in injuries.
Are you okay?","","……傷だらけだけど平気？",""
"1_3_NodeJoin.clip15.0",306707252523008,"","……I'm fine.","","……これくらい何でもねえよ。",""
"1_3_NodeJoin.clip15.1",306707252523009,"","That bastard... I'll be the one to take him down...!","","あいつだけは……オレが倒す……！",""
"1_3_NodeJoin.clip16.0",306709085433856,"","...Okay.","","……そう。",""
"1_3_RescuingMilly.clip0.0",306710666686464,"","Get back here!!","","待てえー！！",""
"1_4_GameClear.clip0.0",306712554123264,"","Milly! Hey—Milly!! Are you okay!?","","ミリー！ 大丈夫か！",""
"1_4_GameClear.clip1.0",306713527201792,"","Big brother!
It’s okay — Milly’s fine!","","お兄ちゃん！
はい、ミリーちゃんは大丈夫です！",""
"1_4_GameClear.clip2.0",306714504474624,"","Thank goodness...!","","良かった……！",""
